Date,Opportunity Name,Account Name,City,State,LEED Certification Target,Building Type - Concatenated,Building Type - Primary,Building Type - Secondary,Brief Description,LEED Certification Level,Industry / Sector - Concatenated,Industry / Sector - Primary,Industry / Sector - Secondary,Service Category (New),Region Where Located - Primary,Region Where Located - Secondary
201-08-11 09:33:00,Board of Directors Sustainability Workshop,One PacificCoast Bank,San Francisco,CA,N/A,N/A,N/A,,"To embed a Triple Bottom Line ethic into your business, follow the lead of One PacificCoast Bank: start at the top by equipping your board of directors to carry the torch of sustainability.",N/A,Banking & Financial Services,Banking & Financial Services,,Workshops & Professional Education,US - Northern California,
201-08-11 09:33:00,Maintenance Facility,Hawaiian Airlines,Honolulu,HI,LEED Silver,Industrial,Industrial,,"To develop a fast-track LEED certification plan, Brightworks partnered closely with the design-build team for this 200,000-square-foot aircraft maintenance and repair facility.",LEED Silver,Aviation|Transportation,Aviation,Transportation,LEED Services,US - Hawaii,
201-08-11 09:33:00,Building W,Chevron,San Ramon,CA,LEED Silver,Offices|Interiors,Offices,Interiors,"To deliver this 18,000-square-foot modern energy facility, Chevron executed a complete renovation of a 1985 geological research site on its San Ramon campus. The new facility is LEED Gold certified and saves more than 30,000 gallons of water per year.",LEED Gold,Energy,Energy,,LEED Services,US - Northern California,
201-08-11 09:33:00,Secondary Liquid Waste Treatment Plant Sustainability Study,U.S. Department of Energy Hanford Nuclear Site,Hanford,WA,N/A,Industrial|Government,Industrial,Government,"To comply with Executive Order 13423 and Department of Energy Order 450.1A, Brightworks provided recommendations for integrating sustainable design strategies into this U.S. Department of Energy facility.",N/A,Government|Manufacturing,Government,Manufacturing,"Other Green Building; Energy, Waste, & Water; Reporting & Regulatory Compliance",US - Pacific Northwest,
201-08-11 09:33:00,721 First Avenue ENERGY STAR Benchmarking,Byron Meyer & Co.,Seattle,WA,N/A,Transportation & Parking,Transportation & Parking,,"To comply with City of Seattle ENERGY STAR requirements, Brightworks provided benchmarking services for this 9-story parking structure, heavily used by travelers taking the Bainbridge Island ferry.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,"Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,North American Parts Distribution Portfolio,American Honda,Torrance,CA,N/A,Industrial,Industrial,,"To build on its successes with ISO 14001, Honda asked Brightworks to facilitate LEED EB:O&M feasibility assessments for its portfolio of parts distribution centers. Brightworks then developed a plan to certify two facilities under LEED EB:O&M.",N/A,Automotive|Warehousing & Distribution,Automotive,Warehousing & Distribution,LEED Services,US - Southern California,
201-08-11 09:33:00,Campus Sustainability Action Plan,Catlin Gabel School,Portland,OR,N/A,K-12 Education,K-12 Education,,"Through workshops and technical support, Brightworks facilitated the Catlin Gabel School in developing a campus sustainability action plan addressing energy, water, transportation, and more.",N/A,K-12 Education,K-12 Education,,Corporate Sustainability Programs,US - Pacific Northwest,
201-08-11 09:33:00,Automotive Carbon Fiber Manufacturing Facility (Building 1),"SGL Carbon, LLC",Moses Lake,WA,LEED Gold,Industrial,Industrial,,"Throughout BMW's future automobiles, you will find carbon fiber and composite materials manufactured at this facility, which reduced water use by over 80% and gets 100% of its electricity from hydro-electric power sources.",LEED Gold,Automotive|Manufacturing,Automotive,Manufacturing,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Beverly Hills Office LEED Contractor Services,Google,Beverly Hills,CA,LEED Gold,Offices,Offices,,"Through our LEED Implementation for Contractors practice area, Brightworks helped Google and its construction team achieve LEED Gold certification for this 11,000-square-foot office, which houses the Google TV development team.",LEED Gold,Construction|Technology,Construction,Technology,LEED Services,US - Southern California,
201-08-11 09:33:00,Hilltop Medical Office Building LEED Contractor Services,Community Health Care,Tacoma,WA,LEED Silver,Healthcare|Offices,Healthcare,Offices,"Through our LEED for Contractors services, Brightworks helped the general contractor of this medical office building in Tacoma successfully deliver the LEED Silver facility desired by the owner.",Not yet certified,Healthcare & Social Services|Construction,Healthcare & Social Services,Construction,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Pembroke Park Distribution Center,Corporate Express,Pembroke,FL,LEED Gold,Industrial|Interiors,Industrial,Interiors,"Though originally developed by Corporate Express, this warehouse and distribution center is now occupied by Staples. The building features natural daylight, motion-sensor lighting, water saving devices, ENERGY STAR appliances, and a green cleaning program.",LEED Gold,Warehousing & Distribution,Warehousing & Distribution,,LEED Services,US - Other Regions,
201-08-11 09:33:00,School of Dental Medicine,Case Western Reserve University,Cleveland,OH,LEED Certified,Higher Education|Laboratories|Healthcare,Higher Education,Healthcare,"This two-story, 36,000-square-foot addition to Case Western's dental school aims to better support the school's pioneering research in biological science and public health by retaining and growing its top-tier research faculty and student body.",Not yet certified,Higher Education|Healthcare & Social Services,Higher Education,Healthcare & Social Services,LEED Services,US - Midwest,
201-08-11 09:33:00,5440 SW Westgate Drive Medical Office Building,American Industries,Portland,OR,N/A,Offices|Healthcare,Offices,Healthcare,"This three-story medical office building had received a new remote terminal unit (RTU), controls, and ducting when Brightworks was asked to assess its feasibility for certification under LEED EB:O&M.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,S Complex,VMWare,Palo Alto,CA,LEED Certified,Offices|Interiors,Offices,Interiors,"This tenant improvement for VMWare features a 36.62% reduction in potable water usage and an 18.45% reduction in lighting power density. All furniture is GREENGUARD certified, while 60.76% of installed equipment and appliances are ENERGY STAR-rated.",LEED Silver,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Ackerman Hall Student Residence,Western Oregon University,Monmouth,OR,LEED Platinum,Higher Education|Multifamily Residential,Higher Education,Multifamily Residential,This student residence -- the first in the U.S. to achieve LEED Platinum -- uses 75% less potable water and 35% less electricity than a conventional building. WOU maintains a long waiting list for students eager to live in this model green community.,LEED Platinum,Higher Education,Higher Education,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Bend Office Building,ODS,Bend,OR,LEED Gold,Offices,Offices,,"This sleek office building -- with a green roof terrace featuring native and adaptive landscaping -- reduces water consumption by over 250,000 gallons of water per year, responding to Central Oregon's high desert climate.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,222 Caspian Drive,Dostart Development Company,Sunnyvale,CA,LEED Silver,Offices,Offices,,"This renovation of an existing two-story, 95,000-square-foot office building preserves as much of the existing structure and equipment as possible in order to minimize waste. Brightworks oversaw multiple energy models to ensure improved performance.",Not yet certified,Real Estate Development,Real Estate Development,,"LEED Services; Energy, Waste, & Water",US - Northern California,
201-08-11 09:33:00,IT Building Renovation,California Water Services Company,San Jose,CA,LEED Silver,Offices,Offices,,"This renovation and addition to the existing Cal Water IT Building, originally built in 1964, enclosed a U-shaped outdoor space and added a second story, creating additional employee workspaces and increasing safety and security for employees and data.",LEED Silver,Infrastructure & Utilities,Infrastructure & Utilities,,LEED Services,US - Northern California,
201-08-11 09:33:00,Centennial Mill (Phase 1: Pre-Design through SD),Harsch Investment Properties,Portland,OR,LEED Platinum,Retail & Restaurants|Offices,Retail & Restaurants,Offices,"This public-private redevelopment of Portland's historic Centennial Mill will reinvigorate this landmark with vibrant residential, commercial, market, event, and outdoor space on a high-profile Willamette River waterfront site.",Not yet certified,Real Estate Development,Real Estate Development,,"LEED Services; Advanced Green Buildings; Energy, Waste, & Water; Planning & Infrastructure",US - Pacific Northwest,
201-08-11 09:33:00,University of Oregon Chapter Housing,Presbyterian Collegiate Ministries,Eugene,OR,LEED Gold,Higher Education|Multifamily Residential,Higher Education,Multifamily Residential,"This private student housing development for the University of Oregon chapter of Presbyterian Campus Ministries will provide 45 residential housing units in a new, 57,000-square-foot development in downtown Eugene, Oregon.",Not yet certified,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Fire Station 18,City of Portland,Portland,OR,LEED Silver,Public Safety & Emergency Services|Government,Public Safety & Emergency Services,Government,"This partial demolition and complete remodel included substantial energy efficiency improvements, along with seismic upgrades and improved ADA accessibility. Additional sustainability measures include rainwater capture and an on-site PV array.",LEED Gold,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Bureau of Land Management Office and Warehouse,Viking Properties,North Bend,OR,N/A,Government|Offices,Government,Offices,"This operator of the Bureau of Land Management's office and warehouse in Coos Bay, Oregon, asked Brightworks to study the feasibility of securing LEED EB:O&M certification for the facility.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Student Union,San Jose State University,San Jose,CA,LEED Gold,Higher Education|Hospitality,Higher Education,Hospitality,"This open, lively, and sustainable expansion and renovation to San Jose State's student union will uplift the diverse student body and growing on-campus residential population.",Not yet certified,Higher Education,Higher Education,,LEED Services,US - Northern California,
201-08-11 09:33:00,1600 Plymouth Offices,Google,Mountain View,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"This office tenant improvement at Google's Googleplex headquarters received Gold certification under LEED for Commercial Interiors. Like many other Google buildings, it offers fueling stations to encourage use of electric vehicles.",LEED Gold,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,333 Market Offices,Wells Fargo,San Francisco,CA,LEED Certified,Offices|Interiors,Offices,Interiors,"This office renovation for Wells Fargo (completed in conjunction with a renovation to its offices at 45 Fremont) provided this global financial institution with its first LEED certifications, part of a broader corporate sustainability program.",LEED Silver,Banking & Financial Services,Banking & Financial Services,,LEED Services,US - Northern California,
201-08-11 09:33:00,45 Fremont Offices,Wells Fargo,San Francisco,CA,LEED Certified,Offices|Interiors,Offices,Interiors,"This office renovation for Wells Fargo (completed in conjunction with a renovation to its offices at 333 Market) provided this global financial institution with its first LEED certifications, part of a broader corporate sustainability program.",LEED Silver,Banking & Financial Services,Banking & Financial Services,,LEED Services,US - Northern California,
201-08-11 09:33:00,Moffett Towers Offices,Motorola Mobility,Sunnyvale,CA,LEED Silver,Offices|Interiors,Offices,Interiors,This office for Motorola Mobility in Sunnyvale's Moffett Towers achieved LEED Gold certification. A notable sustainable design feature greets employees and guests: a Guard Desk featuring redwood timber reclaimed from Hangar One at nearby Moffett Field.,LEED Gold,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Stafford Woods Commercial Condominiums & Conferencing Center,The Subway Group,Wilsonville,OR,LEED Silver,Offices,Offices,,"This office and conference center conserves over 80,000 gallons of water per year with efficient plumbing fixtures and a landscape that reduces irrigation needs, despite vegetated open space exceeding code requirements by over 20%.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,1701 Page Mill Road (Stanford Research Park),Stanford Real Estate,Palo Alto,CA,LEED Gold,Headquarters|Offices|Laboratories,Headquarters,Laboratories,"This new Stanford Real Estate development sits at the entrance to the Stanford Research Park. A health sciences start-up has selected this new, 116,000-square-foot building for its headquarters.",Not yet certified,Biotechnology & Life Sciences|Research,Biotechnology & Life Sciences,Research,LEED Services,US - Northern California,
201-08-11 09:33:00,New Headquarters,Synopsys,Mountain View,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"This new headquarters will provide 130,000 square feet of space for this provider of electronic design automation (EDA) software that engineers use to design, prototype, and test integrated circuits, commonly known as ""chips.""",Not yet certified,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Keizer Station Clinic,Kaiser Permanente,Keizer,OR,LEED Silver,Healthcare,Healthcare,,"This new facility in Oregon continues Kaiser's community-based clinic program. LEED certification for these clinics communicates to Kaiser members that health, sustainability, and efficiency are complementary objectives.",Not yet certified,Healthcare & Social Services,Healthcare & Social Services,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Post Production Village,Paramount Pictures,Hollywood,CA,LEED Certified,Offices|Industrial,Offices,Industrial,"This new facility at Paramount Picture's new Post Production Village features two theatrical mixing stages, two audio pre-dubbing and QC stages, ADR and broadcast mix stages, and sound design and edit bays.",LEED Certified,Arts & Entertainment,Arts & Entertainment,,LEED Services,US - Southern California,
201-08-11 09:33:00,Gateways Apartments,SRO Housing,Los Angeles,CA,LEED Gold,Multifamily Residential,Multifamily Residential,,"This new development in the Skid Row section of downtown Los Angeles brings to market 108 much-needed new studio apartments for chronically homeless individuals. Inside, they can also receive supportive services in a safe place.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,Dallas Data Center,Equinix,Dallas,TX,LEED Silver,Data Centers,Data Centers,,"This new co-location data center in the Dallas, Texas, Infomart will achieve LEED Silver certification using an alternative compliance approach for data center LEED energy submissions developed by Brightworks with Equinix and GBCI.",Not yet certified,Technology,Technology,,LEED Services,US - Other Regions,
